"Id","ActiveUntil","DateRegistered","State","DeviceName","OwnerEmail","MAC","Vlan"
22,"2022-06-13 13:59:43","2021-12-13 13:59:43",0,"brooklyn","735Julian.Martinez@microsoft.com","park-537151869","Vlan7"
23,"2022-06-13 14:41:08","2021-12-13 14:41:08",1,"pickled","19376Claire.Collins@telus.net","shoreditch-1656925661","Vlan3"
24,"2022-06-13 14:06:40","2021-12-13 14:06:40",0,"ethical","6816Sarah.Simmons@shaw.ca","vegan-1331722735","Vlan7"
25,"2022-06-13 15:51:38","2021-12-13 15:51:38",2,"child","34023Caitlin.Ward@hotmail.com","put-1630483183","Vlan5"
26,"2022-06-13 13:59:43","2021-12-13 13:59:43",2,"semiotics","735Julian.Martinez@microsoft.com","butcher-997477632","Vlan9"
27,"2022-06-13 14:11:23","2021-12-13 14:11:23",2,"etsy","9087Josefa.Roberts@gmx.com","party-162485815","Vlan8"
28,"2022-06-13 14:08:22","2021-12-13 14:08:22",1,"they","7699Kiara.Rodriguez@microsoft.com","pickled-671453641","Vlan3"
29,"2022-06-13 15:19:47","2021-12-13 15:19:47",1,"jean","28522Kylie.Simmons@gmail.com","out-2062531636","Vlan9"
30,"2022-06-13 13:59:57","2021-12-13 13:59:57",2,"post-ironic","1366Jared.Cook@rogers.ca","on-479773408","Vlan8"
31,"2022-06-13 14:48:14","2021-12-13 14:48:14",1,"Leggings","21519Mary.Coleman@hotmail.com","Leggings-14825066","Vlan10"
32,"2022-06-13 15:38:20","2021-12-13 15:38:20",0,"apparel","31907Briana.MacDonald@gmx.com","richardson-1333878602","Vlan3"
33,"2022-06-13 14:02:27","2021-12-13 14:02:27",1,"week","4352Terica.Cox@gmail.com","echo-1681124881","Vlan10"
34,"2022-06-13 14:33:38","2021-12-13 14:33:38",2,"narwhal","17054Riley.Iginla@rogers.ca","Marfa-887915697","Vlan4"
35,"2022-06-13 14:58:40","2021-12-13 14:58:40",0,"photo","24152Megan.Patterson@rogers.ca","world-119148643","Vlan1"
36,"2022-06-13 14:32:45","2021-12-13 14:32:45",2,"bushwick","16780Ashley.Patterson@shaw.ca","company-1850220712","Vlan1"
37,"2022-06-13 15:24:02","2021-12-13 15:24:02",0,"they","29416Trinity.Martinez@telus.net","richardson-1718768434","Vlan7"
38,"2022-06-13 14:14:41","2021-12-13 14:14:41",2,"dreamcatcher","10264Melissa.Henderson@microsoft.com","life-319600213","Vlan2"
39,"2022-06-13 14:07:22","2021-12-13 14:07:22",2,"pop-up","7217Julia.Gonzales@live.com","pour-over-1572991884","Vlan1"
40,"2022-06-13 14:38:00","2021-12-13 14:38:00",0,"cred","18434Alexis.Simmons@hotmail.com","readymade-667666806","Vlan5"
41,"2022-06-13 14:27:43","2021-12-13 14:27:43",0,"shorts","15235Juan.Foster@live.com","chillwave-1809088859","Vlan4"
42,"2022-06-13 14:11:39","2021-12-13 14:11:39",2,"tofu","9175Hunter.MacDonald@telus.net","cred-900018565","Vlan1"
43,"2022-06-13 13:59:49","2021-12-13 13:59:49",1,"lo-fi","1035Cameron.Timms@gmx.com","photo-823500562","Vlan7"
44,"2022-06-13 13:59:59","2021-12-13 13:59:59",1,"raw","1430Briana.Barnes@shaw.ca","bag-441331411","Vlan9"
45,"2022-06-13 15:05:51","2021-12-13 15:05:51",0,"Swag","25697Gabriel.Chambers@live.com","haven't-929556465","Vlan6"
46,"2022-06-13 14:44:36","2021-12-13 14:44:36",1,"number","20461Sofia.Alexander@att.com","they-569515569","Vlan4"
47,"2022-06-13 13:59:59","2021-12-13 13:59:59",0,"vice","1430Briana.Barnes@shaw.ca","fund-1090303683","Vlan5"
48,"2022-06-13 15:42:04","2021-12-13 15:42:04",1,"pack","32532Leslie.Alexander@gmail.com","life-1746166577","Vlan6"
49,"2022-06-13 14:55:23","2021-12-13 14:55:23",0,"future","23353Kaylee.Peterson@hotmail.com","bag-523644860","Vlan3"
50,"2022-06-13 14:31:08","2021-12-13 14:31:08",0,"booth","16300Brandon.Long@shaw.ca","hella-1599716892","Vlan2"
51,"2022-06-13 15:38:01","2021-12-13 15:38:01",1,"group","31855Jenna.Robinson@rogers.ca","sweater-675635054","Vlan3"
52,"2022-06-13 14:19:30","2021-12-13 14:19:30",0,"retro","12078Briana.Diaz@rogers.ca","fap-1996157343","Vlan8"
53,"2022-06-13 14:23:10","2021-12-13 14:23:10",1,"narwhal","13562Makayla.Patterson@gmx.com","richardson-2103371599","Vlan7"
54,"2022-06-13 15:25:27","2021-12-13 15:25:27",1,"belly","29694Brooke.Cook@shaw.ca","stumptown-288660816","Vlan4"
55,"2022-06-13 14:21:10","2021-12-13 14:21:10",2,"high","12819Mia.Reed@gmx.com","wolf-1913153966","Vlan2"
56,"2022-06-13 14:07:48","2021-12-13 14:07:48",0,"fund","7423Kermit.Jenkins@shaw.ca","semiotics-955423157","Vlan6"
57,"2022-06-13 14:41:51","2021-12-13 14:41:51",2,"art","19623Rebecca.Yarobi@live.com","problem-989543105","Vlan1"
58,"2022-06-13 14:20:53","2021-12-13 14:20:53",0,"art","12700Brandon.Sanchez@hotmail.com","williamsburg-1961810088","Vlan8"
59,"2022-06-13 14:52:23","2021-12-13 14:52:23",1,"bird","22595Trevor.Gray@microsoft.com","mixtape-1495835291","Vlan5"
60,"2022-06-13 15:17:52","2021-12-13 15:17:52",2,"Iphone","28198Victoria.Campbell@telus.net","mustache-840301097","Vlan4"
61,"2022-06-13 15:01:08","2021-12-13 15:01:08",1,"cray","24676Julia.Bennett@hotmail.com","world-427585606","Vlan7"
62,"2022-06-13 14:02:13","2021-12-13 14:02:13",0,"wolf","4135Lindsey.Thomas@hotmail.com","direct-1272755870","Vlan5"
63,"2022-06-13 14:30:30","2021-12-13 14:30:30",1,"apparel","16147Sarah.Rivera@telus.net","rights-1914004770","Vlan6"
64,"2022-06-13 14:45:21","2021-12-13 14:45:21",0,"ethical","20714Autumn.Daeninck@microsoft.com","bag-1384790946","Vlan8"
65,"2022-06-13 14:32:13","2021-12-13 14:32:13",1,"chips","16617Andrea.Washington@microsoft.com","Pop-up-1379633638","Vlan3"
66,"2022-06-13 15:31:20","2021-12-13 15:31:20",2,"etsy","30727Isaac.Torres@telus.net","fap-919852270","Vlan7"
67,"2022-06-13 15:19:14","2021-12-13 15:19:14",1,"biodiesel","28429Sarah.Jenkins@gmx.com","Leggings-51293449","Vlan3"
68,"2022-06-13 15:09:02","2021-12-13 15:09:02",2,"beer","26402Connor.Griffin@hotmail.com","fact-385025534","Vlan2"
69,"2022-06-13 14:21:18","2021-12-13 14:21:18",1,"carles","12881Amber.Young@telus.net","Vinyl-842935973","Vlan9"
70,"2022-06-13 15:16:44","2021-12-13 15:16:44",0,"trust","27975Thomas.Coleman@gmail.com","street-257111809","Vlan5"
71,"2022-06-13 14:54:06","2021-12-13 14:54:06",0,"hand","23037Danielle.Flores@microsoft.com","portland-1688473983","Vlan3"
72,"2022-06-13 14:48:02","2021-12-13 14:48:02",1,"ethnic","21458Autumn.Choi@rogers.ca","group-1086805737","Vlan4"
73,"2022-06-13 15:29:15","2021-12-13 15:29:15",0,"odd","30320Grace.Nelson@att.com","master-1798630206","Vlan3"
74,"2022-06-13 14:08:00","2021-12-13 14:08:00",1,"case","7531Alexa.Morgan@gmx.com","mlkshk-658624603","Vlan5"
75,"2022-06-13 14:24:13","2021-12-13 14:24:13",2,"vice","13919Ashley.Diaz@telus.net","pitchfork-1737960785","Vlan8"
76,"2022-06-13 14:08:07","2021-12-13 14:08:07",1,"williamsburg","7589Savannah.Young@hotmail.com","pour-over-1248449797","Vlan10"
77,"2022-06-13 14:08:00","2021-12-13 14:08:00",1,"shoreditch","7531Alexa.Morgan@gmx.com","loko-150355089","Vlan7"
78,"2022-06-13 14:21:49","2021-12-13 14:21:49",2,"american","13108Jenna.Russell@rogers.ca","PBR-1850213971","Vlan3"
79,"2022-06-13 14:02:13","2021-12-13 14:02:13",1,"ethnic","4135Lindsey.Thomas@hotmail.com","park-1570616031","Vlan3"
80,"2022-06-13 14:01:29","2021-12-13 14:01:29",1,"gentrify","3498Jonathan.Timms@telus.net","Umami-1914110783","Vlan9"
81,"2022-06-13 14:20:25","2021-12-13 14:20:25",1,"pop-up","12462Jeremy.Ross@live.com","day-1578463510","Vlan8"
82,"2022-06-13 15:03:55","2021-12-13 15:03:55",0,"a","25263Tanner.King@shaw.ca","heard-352850535","Vlan3"
83,"2022-06-13 14:37:40","2021-12-13 14:37:40",1,"keffiyeh","18319Kecia.Gonzalez@rogers.ca","sriracha-553500464","Vlan2"
84,"2022-06-13 13:59:37","2021-12-13 13:59:37",1,"pickled","119Jordan.Gomes@gmail.com","master-695460517","Vlan6"
85,"2022-06-13 14:57:29","2021-12-13 14:57:29",2,"art","23866Jasmine.Gonzalez@att.com","sweater-298522502","Vlan9"
86,"2022-06-13 15:28:01","2021-12-13 15:28:01",0,"richardson","30128Shelby.Radcliff@gmail.com","small-1677382391","Vlan6"
87,"2022-06-13 14:46:52","2021-12-13 14:46:52",1,"loko","21153Megan.Robinson@shaw.ca","farm-to-table-1360452712","Vlan5"
88,"2022-06-13 14:27:34","2021-12-13 14:27:34",1,"authentic","15198Nathan.Jackson@microsoft.com","man-396757575","Vlan2"
89,"2022-06-13 14:35:49","2021-12-13 14:35:49",0,"vegan","17704Abigail.Walker@telus.net","booth-728447316","Vlan4"
90,"2022-06-13 14:06:40","2021-12-13 14:06:40",1,"case","6816Sarah.Simmons@shaw.ca","it-859727682","Vlan2"
91,"2022-06-13 14:20:46","2021-12-13 14:20:46",0,"lo-fi","12651Claire.Morgan@shaw.ca","raw-2120941585","Vlan7"
92,"2022-06-13 14:51:44","2021-12-13 14:51:44",2,"kale","22432Alex.Phillips@gmx.com","bicycle-849096212","Vlan8"
93,"2022-06-13 14:11:39","2021-12-13 14:11:39",1,"life","9175Hunter.MacDonald@telus.net","life-1488915766","Vlan1"
94,"2022-06-13 13:59:43","2021-12-13 13:59:43",0,"PBR","693Victoria.Moore@gmx.com","Messenger-694021845","Vlan10"
95,"2022-06-13 15:54:00","2021-12-13 15:54:00",1,"pour-over","34406Ava.Brown@telus.net","denim-1112566296","Vlan9"
96,"2022-06-13 14:21:49","2021-12-13 14:21:49",1,"fact","13108Jenna.Russell@rogers.ca","pickled-1796619390","Vlan2"
97,"2022-06-13 14:01:17","2021-12-13 14:01:17",0,"readymade","3302Angie.Davis@telus.net","fap-670618351","Vlan8"
98,"2022-06-13 15:01:58","2021-12-13 15:01:58",2,"a","24855Kayla.Davis@live.com","wayfarers-1163724771","Vlan8"
99,"2022-06-13 14:34:00","2021-12-13 14:34:00",0,"DIY","17173Alyssa.Main@shaw.ca","terry-1910572395","Vlan10"
100,"2022-06-13 14:54:06","2021-12-13 14:54:06",2,"apparel","23037Danielle.Flores@microsoft.com","high-620407074","Vlan4"
101,"2022-06-13 14:46:41","2021-12-13 14:46:41",2,"out","21093Briana.Cooper@shaw.ca","polaroid-1459602002","Vlan9"
102,"2022-06-13 14:22:39","2021-12-13 14:22:39",0,"haven't","13402Jessica.Jenkins@live.com","forage-105096181","Vlan2"
103,"2022-06-13 14:53:14","2021-12-13 14:53:14",0,"brunch","22831Emma.Gomes@microsoft.com","Dreamcatcher-456134127","Vlan1"
104,"2022-06-13 15:47:44","2021-12-13 15:47:44",1,"pop-up","33383Luke.Ross@live.com","bicycle-35372393","Vlan6"
105,"2022-06-13 14:10:35","2021-12-13 14:10:35",2,"ethical","8706Leslie.Hughes@live.com","Leggings-1464570789","Vlan1"
106,"2022-06-13 14:54:44","2021-12-13 14:54:44",2,"Iphone","23182Christina.Young@gmx.com","vegan-1639867854","Vlan3"
107,"2022-06-13 15:24:18","2021-12-13 15:24:18",0,"lo-fi","29476Kelly.Rivera@rogers.ca","tofu-1013503726","Vlan2"
108,"2022-06-13 14:57:44","2021-12-13 14:57:44",1,"Ethnic","23913Antonio.Mitchell@live.com","high-1017796759","Vlan1"
109,"2022-06-13 13:59:40","2021-12-13 13:59:40",2,"cosby","443Hailey.Flores@rogers.ca","on-545297991","Vlan8"
110,"2022-06-13 15:46:27","2021-12-13 15:46:27",2,"kale","33178Cheyenne.James@gmx.com","Post-ironic-24205094","Vlan5"
111,"2022-06-13 15:25:45","2021-12-13 15:25:45",0,"odd","29751Alexandra.Hill@live.com","Marfa-409849741","Vlan10"
112,"2022-06-13 14:18:43","2021-12-13 14:18:43",0,"rights","11806Sean.Peterson@gmx.com","ennui-1261300016","Vlan3"
113,"2022-06-13 14:40:25","2021-12-13 14:40:25",2,"skateboard","19159Lakeshia.Hill@gmail.com","Bicycle-1052978875","Vlan6"
114,"2022-06-13 14:24:49","2021-12-13 14:24:49",2,"dreamcatcher","14153Beulah.Choi@live.com","pour-over-1075434207","Vlan5"
115,"2022-06-13 15:55:43","2021-12-13 15:55:43",1,"carles","34685Molly.Lopez@gmail.com","life-1264745022","Vlan1"
116,"2022-06-13 15:55:04","2021-12-13 15:55:04",2,"williamsburg","34568Seth.Hayes@telus.net","brunch-1325500099","Vlan3"
117,"2022-06-13 15:35:20","2021-12-13 15:35:20",2,"craft","31411Hailey.Harris@hotmail.com","VHS-2028466913","Vlan4"
118,"2022-06-13 14:11:23","2021-12-13 14:11:23",0,"future","9087Josefa.Roberts@gmx.com","case-1819402180","Vlan4"
119,"2022-06-13 15:28:39","2021-12-13 15:28:39",0,"Dreamcatcher","30219Audrey.Washington@att.com","fanny-316100009","Vlan4"
120,"2022-06-13 15:45:23","2021-12-13 15:45:23",0,"polaroid","33027James.Pearson@live.com","truffaut-180093344","Vlan7"
121,"2022-06-13 14:32:13","2021-12-13 14:32:13",1,"apparel","16617Andrea.Washington@microsoft.com","apparel-406462931","Vlan6"
122,"2022-06-13 14:08:48","2021-12-13 14:08:48",1,"narwhal","7909Jose.Patterson@hotmail.com","mcsweeney's-61428432","Vlan5"
123,"2022-06-13 14:21:01","2021-12-13 14:21:01",2,"fanny","12757Elijah.Williams@microsoft.com","park-1555102689","Vlan6"
124,"2022-06-13 14:07:10","2021-12-13 14:07:10",1,"shorts","7115Daniel.Washington@hotmail.com","cosby-621755254","Vlan8"
125,"2022-06-13 14:00:39","2021-12-13 14:00:39",0,"echo","2487Cody.Daeninck@hotmail.com","keffiyeh-497290864","Vlan4"
126,"2022-06-13 14:16:41","2021-12-13 14:16:41",1,"food","11054Eric.Robinson@gmx.com","put-883844976","Vlan2"
127,"2022-06-13 15:23:30","2021-12-13 15:23:30",2,"Umami","29312Mackenzie.Miller@gmail.com","life-1274488680","Vlan8"
128,"2022-06-13 14:44:47","2021-12-13 14:44:47",1,"sweater","20538Hailey.Phillips@gmail.com","pack-2139741126","Vlan4"
129,"2022-06-13 15:27:42","2021-12-13 15:27:42",1,"Brooklyn","30070Caroline.Radcliff@telus.net","biodiesel-9300691","Vlan6"
130,"2022-06-13 14:34:00","2021-12-13 14:34:00",2,"you","17173Alyssa.Main@shaw.ca","group-2055351473","Vlan2"
131,"2022-06-13 15:56:44","2021-12-13 15:56:44",2,"truffaut","34864Bryce.Carter@hotmail.com","park-1915376194","Vlan4"
132,"2022-06-13 15:55:23","2021-12-13 15:55:23",0,"terry","34634Matthew.Gonzales@gmail.com","fact-268036587","Vlan2"
133,"2022-06-13 15:35:40","2021-12-13 15:35:40",2,"retro","31459Lekisha.Hughes@shaw.ca","fanny-90249392","Vlan8"
134,"2022-06-13 14:08:15","2021-12-13 14:08:15",0,"part","7638Brianna.Anderson@gmail.com","pickled-1032462182","Vlan8"
135,"2022-06-13 15:55:04","2021-12-13 15:55:04",0,"marfa","34568Seth.Hayes@telus.net","artisan-545920504","Vlan4"
136,"2022-06-13 14:01:59","2021-12-13 14:01:59",1,"pack","3954Steven.Daeninck@telus.net","ennui-1896109077","Vlan4"
137,"2022-06-13 14:01:06","2021-12-13 14:01:06",0,"probably","3098Michael.White@live.com","jean-1872832619","Vlan2"
138,"2022-06-13 14:32:55","2021-12-13 14:32:55",1,"forage","16849Michelle.Coleman@live.com","irony-359289610","Vlan2"
139,"2022-06-13 15:28:39","2021-12-13 15:28:39",2,"marfa","30219Audrey.Washington@att.com","hand-2058125570","Vlan3"
140,"2022-06-13 15:47:25","2021-12-13 15:47:25",2,"VHS","33315Alexandra.Coleman@rogers.ca","marfa-1817352575","Vlan9"
141,"2022-06-13 14:17:27","2021-12-13 14:17:27",1,"raw","11365Sara.Jackson@gmail.com","Iphone-1350665587","Vlan7"
142,"2022-06-13 14:10:18","2021-12-13 14:10:18",1,"dreamcatcher","8616Isabel.Evans@shaw.ca","beer-323217454","Vlan2"
143,"2022-06-13 14:22:06","2021-12-13 14:22:06",0,"ethical","13230John.Campbell@hotmail.com","stumptown-1927536030","Vlan4"
144,"2022-06-13 14:21:18","2021-12-13 14:21:18",0,"loko","12881Amber.Young@telus.net","fanny-388968331","Vlan4"
145,"2022-06-13 14:04:27","2021-12-13 14:04:27",0,"hella","5621Mackenzie.Harris@microsoft.com","denim-114057846","Vlan10"
146,"2022-06-13 15:46:05","2021-12-13 15:46:05",0,"kale","33127Aaron.Johnson@att.com","denim-630203671","Vlan1"
147,"2022-06-13 14:01:39","2021-12-13 14:01:39",0,"williamsburg","3658John.Carter@gmail.com","small-1778366675","Vlan7"
148,"2022-06-13 14:13:51","2021-12-13 14:13:51",0,"Dreamcatcher","9947Beulah.Phillips@shaw.ca","work-1271696708","Vlan2"
149,"2022-06-13 14:24:13","2021-12-13 14:24:13",1,"apparel","13919Ashley.Diaz@telus.net","polaroid-436068928","Vlan5"
150,"2022-06-13 15:34:41","2021-12-13 15:34:41",1,"ennui","31298Kelly.Carter@shaw.ca","odd-617888140","Vlan4"
151,"2022-06-13 14:36:10","2021-12-13 14:36:10",0,"locavore","17794Kaitlyn.Thomas@gmx.com","future-1368065395","Vlan4"
152,"2022-06-13 14:22:50","2021-12-13 14:22:50",0,"party","13443Brooke.Miller@att.com","carles-776067543","Vlan1"
153,"2022-06-13 15:47:44","2021-12-13 15:47:44",1,"bag","33383Luke.Ross@live.com","Skateboard-730636352","Vlan2"
154,"2022-06-13 14:49:51","2021-12-13 14:49:51",1,"VHS","21964Danielle.Adams@rogers.ca","bushwick-1237109367","Vlan7"
155,"2022-06-13 14:44:02","2021-12-13 14:44:02",0,"butcher","20290Isaac.Pitt@gmx.com","Pop-up-1481674239","Vlan4"
156,"2022-06-13 14:03:56","2021-12-13 14:03:56",0,"pack","5236Grace.Simmons@live.com","semiotics-1618532347","Vlan4"
157,"2022-06-13 14:07:28","2021-12-13 14:07:28",2,"raw","7277Amanda.Rogers@gmail.com","direct-539757018","Vlan5"
158,"2022-06-13 14:01:36","2021-12-13 14:01:36",0,"farm-to-table","3596Jordan.Turner@microsoft.com","shorts-1520295406","Vlan9"
159,"2022-06-13 15:49:00","2021-12-13 15:49:00",0,"cosby","33624Angela.Nelson@hotmail.com","occupy-1256753506","Vlan6"
160,"2022-06-13 14:03:38","2021-12-13 14:03:38",0,"artisan","5004Hettie.Hughes@gmail.com","park-60627243","Vlan3"
161,"2022-06-13 14:41:19","2021-12-13 14:41:19",1,"fap","19445Liberty.Hill@hotmail.com","viral-1861457308","Vlan9"
162,"2022-06-13 14:15:06","2021-12-13 14:15:06",2,"VHS","10435Gabriela.Martin@gmx.com","butcher-2101476778","Vlan1"
163,"2022-06-13 15:01:58","2021-12-13 15:01:58",0,"small","24855Kayla.Davis@live.com","Post-ironic-629884290","Vlan9"
164,"2022-06-13 14:51:56","2021-12-13 14:51:56",1,"richardson","22491Julian.Wright@hotmail.com","small-927517135","Vlan10"
165,"2022-06-13 14:22:16","2021-12-13 14:22:16",0,"haven't","13288Aaron.Allen@att.com","echo-1006366609","Vlan6"
166,"2022-06-13 14:09:17","2021-12-13 14:09:17",1,"pitchfork","8141Jade.Turner@rogers.ca","master-620421012","Vlan10"
167,"2022-06-13 15:12:10","2021-12-13 15:12:10",0,"fanny","27020Aaron.Jenkins@shaw.ca","occupy-2041592723","Vlan1"
168,"2022-06-13 15:34:41","2021-12-13 15:34:41",2,"fanny","31298Kelly.Carter@shaw.ca","raw-1849836636","Vlan3"
169,"2022-06-13 14:44:58","2021-12-13 14:44:58",0,"party","20597Ashley.Ratzlaff@telus.net","brooklyn-378320116","Vlan6"
170,"2022-06-13 14:30:30","2021-12-13 14:30:30",1,"gastropub","16147Sarah.Rivera@telus.net","irony-62497049","Vlan8"
171,"2022-06-13 15:10:41","2021-12-13 15:10:41",0,"richardson","26752Aaron.Bennett@rogers.ca","part-53475295","Vlan7"
172,"2022-06-13 14:24:05","2021-12-13 14:24:05",2,"Austin","13853Beulah.Pearson@att.com","marfa-1267238092","Vlan5"
173,"2022-06-13 15:23:46","2021-12-13 15:23:46",1,"government","29374Brandon.Richardson@gmail.com","hand-1203775612","Vlan4"
174,"2022-06-13 14:27:17","2021-12-13 14:27:17",2,"pork","15093Timothy.Rogers@gmail.com","trust-1719188688","Vlan1"
175,"2022-06-13 14:39:12","2021-12-13 14:39:12",2,"bird","18846Timothy.Hill@rogers.ca","occupy-858213415","Vlan10"
176,"2022-06-13 15:45:23","2021-12-13 15:45:23",0,"echo","33027James.Pearson@live.com","chillwave-145504131","Vlan9"
177,"2022-06-13 14:06:11","2021-12-13 14:06:11",0,"shorts","6539Laura.Harris@telus.net","narwhal-673078192","Vlan8"
178,"2022-06-13 15:58:49","2021-12-13 15:58:49",0,"apparel","35176Jack.Carter@shaw.ca","case-431302644","Vlan9"
179,"2022-06-13 14:28:52","2021-12-13 14:28:52",1,"brunch","15628Jasmine.Walker@microsoft.com","pop-up-39731579","Vlan6"
180,"2022-06-13 13:59:36","2021-12-13 13:59:36",2,"of","0Olivia.Miller@shaw.ca","fap-422394551","Vlan4"
181,"2022-06-13 14:07:48","2021-12-13 14:07:48",0,"fap","7423Kermit.Jenkins@shaw.ca","heard-881311339","Vlan4"
182,"2022-06-13 15:00:33","2021-12-13 15:00:33",2,"shoreditch","24559Jackson.Morgan@gmail.com","PBR-1112598719","Vlan10"
183,"2022-06-13 15:11:20","2021-12-13 15:11:20",1,"haven't","26863Josefa.Cook@live.com","high-518065841","Vlan10"
184,"2022-06-13 14:40:15","2021-12-13 14:40:15",1,"freegan","19115Violet.James@rogers.ca","art-1698540198","Vlan6"
185,"2022-06-13 14:28:43","2021-12-13 14:28:43",1,"terry","15585Maria.Bryant@gmx.com","truffaut-450330994","Vlan5"
186,"2022-06-13 14:53:01","2021-12-13 14:53:01",0,"park","22775Julia.Mitchell@gmx.com","lo-fi-1127815945","Vlan5"
187,"2022-06-13 14:44:47","2021-12-13 14:44:47",2,"pop-up","20538Hailey.Phillips@gmail.com","dreamcatcher-137946399","Vlan5"
188,"2022-06-13 15:02:31","2021-12-13 15:02:31",0,"godard","24960Leslie.Ross@microsoft.com","mlkshk-1846133760","Vlan8"
189,"2022-06-13 15:56:03","2021-12-13 15:56:03",0,"truffaut","34754William.Morgan@hotmail.com","occupy-1403565290","Vlan1"
190,"2022-06-13 14:15:14","2021-12-13 14:15:14",0,"park","10503Jasmine.Wood@shaw.ca","craft-1265524299","Vlan1"
191,"2022-06-13 14:22:50","2021-12-13 14:22:50",2,"master","13443Brooke.Miller@att.com","cred-1335634681","Vlan1"
192,"2022-06-13 14:00:13","2021-12-13 14:00:13",1,"selvage","1919Kelly.Ward@live.com","place-738447761","Vlan9"
193,"2022-06-13 15:39:39","2021-12-13 15:39:39",2,"child","32130Mary.Jackson@shaw.ca","day-1842996263","Vlan9"
194,"2022-06-13 14:24:13","2021-12-13 14:24:13",1,"mlkshk","13919Ashley.Diaz@telus.net","craft-1061618604","Vlan8"
195,"2022-06-13 15:13:12","2021-12-13 15:13:12",2,"echo","27222Jasmine.Diaz@shaw.ca","jean-424775152","Vlan6"
196,"2022-06-13 15:10:02","2021-12-13 15:10:02",1,"apparel","26650Brandon.Hill@live.com","biodiesel-1823561064","Vlan6"
197,"2022-06-13 14:17:19","2021-12-13 14:17:19",0,"of","11320Kaitlyn.Allen@rogers.ca","vinyl-221416196","Vlan3"
198,"2022-06-13 14:32:00","2021-12-13 14:32:00",2,"beer","16544Gabriel.Wright@live.com","jean-1281932209","Vlan1"
199,"2022-06-13 14:09:54","2021-12-13 14:09:54",2,"forage","8454Madeline.Ward@gmx.com","life-166955768","Vlan1"
200,"2022-06-13 15:59:11","2021-12-13 15:59:11",0,"place","35236Ella.Iginla@hotmail.com","cosby-1544928601","Vlan5"
201,"2022-06-13 14:00:32","2021-12-13 14:00:32",1,"them","2316Marissa.Richardson@gmail.com","raw-85496328","Vlan4"
202,"2022-06-13 14:20:25","2021-12-13 14:20:25",1,"Lomo","12462Jeremy.Ross@live.com","heard-1737423862","Vlan5"
203,"2022-06-13 14:12:59","2021-12-13 14:12:59",2,"pitchfork","9636Kandra.Long@microsoft.com","direct-1870799119","Vlan8"
